channelcode,carnum1,carnum2,type,time,lane,dir,LNG,LAT
AjQbFdt8B1B86TBMKGP5HQ,’„G,24A68E20C68CCFD2B6284D8D356AB2E9,2,2019/12/20 0:00,3,2,,
AjQbFdt8B1BLO8VTGB2FNN,’„C,FB28A51097EA01F79C3C2CF2EF39A0BB,2,2019/12/20 0:00,4,1,120.091,29.323
AjQbFdt8A1B9BQBJF33SKU,‘•N,19F2444811F7C9011A11BBE314D6623F,2,2019/12/20 0:00,1,,,
AjQbFdt8A1B7K06Q4BHKIM,’„G,85A4D9E3D8FE8C6738C33F19BC427E57,2,2019/12/20 0:00,1,2,120.049,29.391
AjQbFdt8B1BLO8VTJMUGG3,’„G,303F887DDC4BF86ADC5D31ACBD4CDFBD,2,2019/12/20 0:00,2,1,119.928,29.2736
AjQbFdt8A1B7K06Q369NOE,’„G,7FEE5DC0B8216F9BD6E48EE331115FF2,2,2019/12/20 0:00,3,0,120.147,29.3916
AjQbFdt8A1B7K06Q4RP7M9,’„G,356BC3BCA8EDDFA14BCD0E206BAAF73A,2,2019/12/20 0:00,3,3,,
AjQbFdt8B1BLO8VTFSO233,’„G,075F6AB28B68956284E437981179BC33,2,2019/12/20 0:00,2,1,120.079,29.2953
AjQbFdt8B1B5K31KT2E40O,’„G,85E2CA815E93CE0061490C41379D1056,2,2019/12/20 0:00,2,0,120.147,29.3956
AjQbFdt8A1B7K06Q4PS4LG,’„G,75F61C9539380D87D0F15BAEE4A69BD7,2,2019/12/20 0:00,2,2,120.092,29.3146
AjQbFdt8B1B86TBML5PFQE,’„G,DC3F2405F090A4A96668AC5D9F03949E,2,2019/12/20 0:00,1,2,120.086,29.3185
AjQbFdt8B1BLO8VTJCEB3J,ÕÓL,8B7252591981FDB6E0F91F42508828DD,1,2019/12/20 0:00,2,,,
AjQbFdt8B1B5K31KOQUN84,’„D,B286A983B9E17EF20C89CF8228940C8C,1,2019/12/20 0:00,5,1,120.096,29.3132
AjQbFdt8B1B5K31L8IM2C2,’„G,57BD4C4ED09DAFC05EFBF20B3561EF14,2,2019/12/20 0:00,3,3,,
AjQbFdt8A1B7K06Q30IB0T,’„G,C332D5E150449F0826CA4ABFB0ED3795,2,2019/12/20 0:00,1,0,,
AjQbFdt8B1B6U6LVUAVM2R,’„G,02DBDB39390BB36DB3D7D985E650B101,2,2019/12/20 0:00,1,,120.136,29.4152
AjQbFdt8B1B5K31KP2J0LN,’„G,57B044E83E50890BF67DC429E8087F55,2,2019/12/20 0:00,5,2,120.092,29.2997
AjQbFdt8B1B6U6LVU3B5AA,ÕÓC,8773D109DDA6902742EB3BCF1C6C2A1A,2,2019/12/20 0:00,1,,120.041,29.3444
AjQbFdt8B1B86TBMN5MFLA,’„G,128B6AF055E14301F30AE995BAA8FB5F,2,2019/12/20 0:00,1,3,120.063,29.2802
AjQbFdt8B1BLO8VTH5Q71D,’„G,9BD24064B0B88782C3F513244CB079D6,2,2019/12/20 0:00,3,1,,
AjQbFdt8B1BLO8VTH6OOV9,’„G,7AA479853A88F8980FA72AE4370FBBEC,2,2019/12/20 0:00,3,2,,
AjQbFdt8A1BL1TPJSOESVJ,’„G,947A124BCB0D75FC12917EFF57AF2F80,2,2019/12/20 0:00,1,2,,
AjQbFdt8A1B5KAV1G3OA1I,’„G,290D7C92DC2FF5879BD979CB40CB0B55,2,2019/12/20 0:00,2,1,120.105,29.3251
AjQbFdt8B1BLO8VTJDCRSM,’„G,A41CF532EA962C8E7A0BDC0CC40C8C05,2,2019/12/20 0:00,2,,,
AjQbFdt8A1B5KAV1ASP7MM,’„G,E789D6FE0BC55CAF50BBC5B6AF1B9CCC,2,2019/12/20 0:00,3,3,120.098,29.2924
AjQbFdt8B1BHG132QN69C7,’„G,9184E3AEA5CAC237B123873C3295A637,2,2019/12/20 0:00,1,2,120.037,29.2736
AjQbFdt8A1B5KAV1FT2JHF,’„G,231569D53BA1D644DDAAEA8200A6540A,2,2019/12/20 0:00,4,1,120.028,29.3125
AjQbFdt8B1BLO8VTG86Q1H,’„G,0272784E0281B8FF43246334F56A4825,2,2019/12/20 0:00,3,2,120.104,29.34
AjQbFdt8A1BDJ7F11O53QH,À’K,550DB9C9E3DA2A0C8DC8B3A262EAE876,2,2019/12/20 0:00,4,,120.028,29.2013
AjQbFdt8A1BDJ7F0UKTMJK,’„A,0AA69CFABF6BA52E94C44A90EF3E0DB5,52,2019/12/20 0:00,3,0,,
AjQbFdt8B1B5K31L7VJ9LG,’„G,2F05B76FABD9AE804043E4D445C038C5,2,2019/12/20 0:00,1,3,120.053,29.3112
AjQbFdt8B1B6U6LVVLTT4V,’„G,B180450965CB173920FBFDEC3DE77B23,2,2019/12/20 0:00,1,0,120.091,29.3108
AjQbFdt8A1B5KAV1PPQR4C,’„G,CF8ACFB6437F8E0F1378D1780FD1F107,2,2019/12/20 0:00,1,0,120.083,29.3278
AjQbFdt8B1BHG132QJC2D9,’„G,0753A8A6547CEA2FFD06BA1C9D3C76CB,2,2019/12/20 0:00,3,0,,
AjQbFdt8A1B5KAV1OODV99,’„G,C6218AFC64474F79E157B7269DD76DF8,2,2019/12/20 0:00,1,1,120.179,29.3327
AjQbFdt8A1B7K06Q1T82FE,’„G,7F56C8B244CA3CBC7FC5FA6F47A9DBCD,1,2019/12/20 0:00,1,1,,
AjQbFdt8B1B5K31KO07RUJ,’„G,0B5D0F458E0D8C0917D9D670CF0A5D18,1,2019/12/20 0:00,6,1,120.118,29.3371
AjQbFdt8B1B5K31L8CUR1U,’„G,71EDF9C170739E4D609A587653491B65,2,2019/12/20 0:00,2,1,120.112,29.3099
AjQbFdt8B1BLO8VTJ8K2JK,’„G,F3707911B9AB3108BFEE4176D2264254,52,2019/12/20 0:00,2,,,
AjQbFdt8B1BLO8VTH02QSP,’„G,0EC18036C2C71A211A91B55F48B3764D,2,2019/12/20 0:00,1,1,120.169,29.3261
AjQbFdt8B1BHG132L5KCMK,’„G,62665AAE602B595F35B6A018A0CB7F23,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OQ2ULI,’„G,A0F7F928B4CB62A63D2E535A55334A7A,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MIGNVH,’„G,626CEA79C16ADE4844B5ECB14D4CB939,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LI1LBM,’„G,D1E454F7AFC1663369545EEBED5FE553,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132M80ISS,’„G,4A27C84AC39AC978E64D0EE6E0F51C9B,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MLCEU9,’„G,0BB756DF5935807C4B0FF7B93A2DA72D,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132OTT5QI,πÛB,0EB4820BD93D36D13F9E320C41427CB7,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MJF9MH,’„G,30EEA37DA4DA75BF13A8524A34247B2B,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132MJF9MH,’„G,0F3DE67DCA8F76975193D6531062653A,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132L9EJQA,’„G,053E6742A3080D1E1B3738755A150D47,1,2019/12/20 0:00,0,,,
AjQbFdt8B1BHG132LSHQUE,’„G,32B55CEF4C30CA075A7370954478C457,1,2019/12/20 0:00,0,,,
AjQbFdt8A1B5KAV1HGJ9K2,∏”E,23DA49DD769702BB22D8E03CD5393D37,2,2019/12/20 0:00,2,1,120.034,29.2098
AjQbFdt8A1B5KAV1NH9SQA,’„G,21C98AB78733E65437E898EA3A3023A5,2,2019/12/20 0:00,5,2,120.029,29.3073
AjQbFdt8A1BDJ7F0UMQOUR,’„G,777DDF11FAACC071CEE539F05D66908E,2,2019/12/20 0:00,3,1,,
AjQbFdt8A1B5KAV1BDUVB1,’„F,81B465DE9C5CE8B4CDC35A6F915715BF,2,2019/12/20 0:00,1,1,120.013,29.3255
AjQbFdt8A1B5KAV1AGC6SB,’„G,66E93603B7569A260A31484C1C2772C3,2,2019/12/20 0:00,7,0,120.061,29.3104
AjQbFdt8A1B7K06Q49KGGH,ÕÓA,00213D398FA823B31D851FC6833A3F12,2,2019/12/20 0:00,1,3,,
AjQbFdt8A1B5KAV1ATNP2H,’„G,F37CB4B4B7F28861E51B03BBAF0885CF,2,2019/12/20 0:00,1,3,120.098,29.2924
AjQbFdt8A1BDJ7F14B58LO,’„G,E5F9FBC69359B093F14F7BE6CD9FCA87,2,2019/12/20 0:00,3,2,120.042,29.283
AjQbFdt8B1BLO8VTGA3TAP,’„G,F0469D31C78102CC7A116ECF6F4E53B7,2,2019/12/20 0:00,1,1,,
