carnum,ft1,lt1,ft2,lt2,ft4,lt4
’„GEBFF5CC200850210D2AA58F67F7326D9,0,23,11,17,11.0,23.0
’„GED79138E3EA4FECA28C1F4DD246F0644,8,18,8,8,6.0,17.0
’„G38F864C05D214245ACFB41953B133DB1,7,17,7,17,7.0,18.0
’„GFA9CA6F56E40F09D093A9FBD549E44D2,8,17,8,17,8.0,17.0
’„GC0A7B82541BBD78760C618C61DE120B8,9,18,9,18,8.0,18.0
’„GD0B68D754BA820077D1BCEE03E62024D,7,17,7,17,7.0,17.0
’„G36DEB6A3346C0D7558DEF4440200DC00,7,18,6,17,7.0,18.0
’„G444077529560697102B5BA0B99405057,7,17,7,17,7.0,18.0
’„G83A3C145F4E2923C24D9BF4366F1E23C,7,21,8,18,,
’„G9A9CE44E582CC500AF974AB9DC8488C4,8,22,8,20,8.0,21.0
’„GBC340D0DA150F51A42AC3F60AB9FEDB0,0,22,6,20,0.0,22.0
’„G3D349F57DCC555F7F3DE3FCDE45B3093,8,21,7,18,7.0,18.0
’„G13CD4B373936C35ED8BE022FB3DA43FD,8,16,7,18,,
’„G53B671EB191E8B809EA157D81DFA5247,7,17,7,16,6.0,19.0
’„G7C7E17285CE962494882A9DD609619E4,8,18,8,17,7.0,17.0
’„G4856157F66BC0E4ABF7F6D12F3B55705,6,20,7,17,6.0,18.0
’„GE0FB9F69C95D6FE1B7D6089281D411C8,7,17,8,17,7.0,17.0
’„G7BF5B4AF34BA0743AF4A4AFA6387D555,7,17,7,16,,
’„GF1FE78E853BCD5C6E2E5A1D328560E75,8,17,8,17,8.0,18.0
’„GF3A8A9247AA2F71C67A827963A755FDA,10,20,14,19,9.0,20.0
’„GF426F4BA34023860A6D6AF3063B16B56,17,17,8,16,7.0,19.0
’„GADD455498734392BB0C8A85C05B73369,9,17,11,16,7.0,18.0
’„G62591C2670A5CCDE525D09C54B61FFBF,7,20,7,21,7.0,23.0
’„G74373B52AD0DDAAFF6DE3FE23F9B69A3,7,18,7,18,,
’„GD5C69E1F3F85227B4EFA2713DDDDF8E7,7,20,8,18,7.0,20.0
’„G39CA95ACD5D39DD5A667560D1C62C52A,11,19,8,20,10.0,17.0
’„G965AE4F2CB14A6AC19FCB028AFE470EC,7,17,8,17,7.0,17.0
’„GA919E8FDBF3561CE7F7C35A2126E8FA7,8,16,8,20,8.0,17.0
’„GBE0A36E602D3941DC5E3E7C6F19DE426,8,12,8,16,8.0,17.0
’„G09D3CE0E30BB70EAC541EC246D80EF8D,7,8,7,18,7.0,18.0
’„GE10BA4167EF00F64FF9365C9E4A90DA7,7,17,7,17,7.0,21.0
’„G918678755FDD5BE3D105C5F9A253192F,7,17,7,16,,
’„G5D626A30C6C8384577E465FF49D16C7B,8,13,8,11,8.0,17.0
’„GB1D6CD8495FED1606E140E933F2F536F,7,17,7,16,,
’„G591F6F3D1A22A9C0788BFB7BDADD153A,8,16,7,17,7.0,18.0
’„G76CC5F22E87DB37BCA84108826B06861,6,17,7,18,,
’„G808AB8DA560EFFF855B817FA151D8073,7,18,7,17,,
’„GAE62BB9E3918CACEAF2DF41470882788,7,17,7,17,7.0,17.0
’„G5DE08A6935675E76BDBEFC8612319D39,6,19,6,19,,
